symbol,price,timestamp
ARKK,80.29499816894531,2025-12-20T20:58:54.943976
ALV,121.08000183105469,2025-12-20T20:58:54.943976
TLT,87.4800033569336,2025-12-20T20:58:54.943976
ENVA,163.63999938964844,2025-12-20T20:58:54.943976
ASND,199.99000549316406,2025-12-20T20:58:54.943976
BELFB,175.77000427246094,2025-12-20T20:58:54.943976
PKE,21.420000076293945,2025-12-20T20:58:54.943976
ARWR,68.12999725341797,2025-12-20T20:58:54.943976
EVCM,11.970000267028809,2025-12-20T20:58:54.943976
CAE,30.104999542236328,2025-12-20T20:58:54.943976
PRAX,272.8500061035156,2025-12-20T20:58:54.943976
NRIX,18.530000686645508,2025-12-20T20:58:54.943976
STOK,31.950000762939453,2025-12-20T20:58:54.943976
BTG,4.545000076293945,2025-12-20T20:58:54.943976
IMMX,5.699999809265137,2025-12-20T20:58:54.943976
AFRM,76.19000244140625,2025-12-20T20:58:54.943976
BLTE,155.8800048828125,2025-12-20T20:58:54.943976
GILD,124.33999633789062,2025-12-20T20:58:54.943976
TSEM,119.18000030517578,2025-12-20T20:58:54.943976
CVNA,450.3800048828125,2025-12-20T20:58:54.943976
WVE,15.979999542236328,2025-12-20T20:58:54.943976
GPCR,64.94000244140625,2025-12-20T20:58:54.943976
KYMR,83.98999786376953,2025-12-20T20:58:54.943976
PLAB,33.060001373291016,2025-12-20T20:58:54.943976
CFLT,29.959999084472656,2025-12-20T20:58:54.943976
SAIC,102.01000213623047,2025-12-20T20:58:54.943976
