,price,ma50,mean_ret_fwd_1d,mean_ret_fwd_5d,mean_ret_fwd_20d,appearances,appearances_persistent,avg_HotScore,rule_score
AS,34.060001373291016,32.892799949646,2.656353605235961,0.0,,4.0,25.0,0.8201808639989572,4
CWAN,21.579999923706055,18.483400058746337,1.3081169541548143,0.0,,4.0,19.0,0.7801975077361425,4
EXAS,100.9000015258789,62.847000198364256,13.573931446871711,0.0,,4.0,20.0,0.9055471317858028,4
GOOG,299.6499938964844,262.98259979248047,1.2253048016323516,0.0,,5.0,21.0,0.7768841081407503,4
GOOGL,299.6600036621094,262.38500030517577,1.2802036335538058,0.0,,5.0,22.0,0.769338300717476,4
LNW,90.19999694824219,82.00680007934571,0.9241760623211775,0.0,,4.0,25.0,0.8074969749756475,4
PACS,27.5,13.304799938201905,17.265870846381453,0.0,,5.0,19.0,0.9378564131822057,4
TERN,26.315000534057617,12.032100009918214,2.582187834500102,0.0,,4.0,19.0,0.889542791980119,4
ABVX,119.12000274658203,94.62990020751953,-0.9020062121522399,0.0,,4.0,0.0,0.0,2
ADPT,18.610000610351562,15.287000045776367,10.877320796304835,0.0,,3.0,0.0,0.0,2
AL,63.79999923706055,63.662599868774414,,0.0,,1.0,0.0,0.0,2
AXTA,30.15999984741211,28.597999992370607,2.168109714944949,0.0,,3.0,0.0,0.0,2
DGNX,12.119999885559082,16.692399978637695,-3.099393569460055,0.0,,3.0,18.0,0.9279617341094233,2
GEHC,76.44999694824219,74.68457427978515,,0.0,,1.0,0.0,0.0,2
JOYY,61.790000915527344,59.40767272949219,-2.9984298658334407,0.0,,2.0,0.0,0.0,2
KLIC,40.880001068115234,39.84232940673828,4.739949645603558,0.0,,2.0,0.0,0.0,2
MTSR,70.5,53.46820014953613,,0.0,,,0.0,0.0,2
NBIS,83.26000213623047,110.11000076293945,-0.5736068763422449,0.0,,4.0,23.0,0.7831075877989923,2
NJR,48.83000183105469,46.28075080871582,,0.0,,1.0,0.0,0.0,2
NTRA,230.6300048828125,186.27490020751952,2.5831983613723666,0.0,,4.0,0.0,0.0,2
PSNYW,0.2199999988079071,0.0,,0.0,,1.0,0.0,0.0,2
RCUS,22.049999237060547,16.653399906158448,3.8624574305470727,0.0,,2.0,0.0,0.0,2
REGN,755.9000244140625,614.5573010253906,-0.27497349457374365,0.0,,3.0,0.0,0.0,2
TBBB,31.799999237060547,27.229600105285645,1.7215613002463437,0.0,,3.0,0.0,0.0,2
TJX,151.42999267578125,142.70498107910157,,0.0,,1.0,0.0,0.0,2
TXG,18.34000015258789,13.414000053405761,,0.0,,1.0,0.0,0.0,2
WMT,105.31999969482422,103.53439987182617,-1.6711800068408889,0.0,,2.0,0.0,0.0,2
ABNB,114.26000213623047,122.51839996337891,,0.0,,1.0,0.0,0.0,0
ABT,128.11000061035156,129.68792938232423,,0.0,,1.0,0.0,0.0,0
ALAB,141.8000030517578,185.11150024414061,1.8020029338854826,0.0,,2.0,0.0,0.0,0
BA,179.6999969482422,208.8426007080078,,0.0,,1.0,0.0,0.0,0
BRBR,29.770000457763672,32.698400001525876,4.389690564091811,0.0,,4.0,0.0,0.0,0
CRBG,28.190000534057617,31.34059997558594,,0.0,,1.0,0.0,0.0,0
DASH,189.6300048828125,248.53309936523436,-2.6139356839158663,0.0,,5.0,0.0,0.0,0
DIS,104.27999877929688,111.55699966430664,,0.0,,1.0,0.0,0.0,0
EOSE,12.359999656677246,13.749899959564209,-4.615073849307343,0.0,,3.0,0.0,0.0,0
KMPR,38.9900016784668,45.90507019042969,,0.0,,1.0,0.0,0.0,0
LEN,123.16000366210938,123.97413162231446,,0.0,,1.0,0.0,0.0,0
MENS,30.739999771118164,48.90299995422363,,0.0,,1.0,0.0,0.0,0
META,594.25,697.6106872558594,-1.2330798720211145,0.0,,2.0,0.0,0.0,0
MMS,84.87000274658203,85.58597030639649,3.4243300896783957,0.0,,2.0,0.0,0.0,0
MRP,30.489999771118164,32.205170478820804,,0.0,,1.0,0.0,0.0,0
MSFT,472.1199951171875,511.9577880859375,-2.0251680418905957,0.0,,3.0,0.0,0.0,0
MSTR,170.5,284.4626007080078,-7.420187490624075,0.0,,3.0,0.0,0.0,0
OBDC,12.34000015258789,12.68272008895874,,0.0,,1.0,0.0,0.0,0
ODD,37.70000076293945,50.395399780273436,-4.725799712678191,0.0,,2.0,0.0,0.0,0
PANW,182.89999389648438,208.7719989013672,,0.0,,1.0,0.0,0.0,0
POWL,282.04998779296875,329.747412109375,-7.705856615810836,0.0,,3.0,0.0,0.0,0
PPL,36.119998931884766,36.72220016479492,,0.0,,1.0,0.0,0.0,0
SHOP,147.8000030517578,156.64800018310547,0.6274923458364723,0.0,,3.0,0.0,0.0,0
SMPL,20.18000030517578,22.742199935913085,,0.0,,1.0,0.0,0.0,0
SRAD,21.649999618530273,25.974899978637694,,0.0,,1.0,0.0,0.0,0
VICI,28.81999969482422,31.060456581115723,,0.0,,1.0,0.0,0.0,0
WSC,17.610000610351562,20.758300056457518,11.10410212317381,0.0,,2.0,0.0,0.0,0
XYZ,61.95000076293945,73.18359970092773,-0.04032196537140931,0.0,,3.0,0.0,0.0,0
